irep,clh,resch,klun,kbra,khrt,kskn,kmus,kadi,kspl,kgio,khep,kkid,kres
1,15.702207942352803,0.7294296820441551,2.9587206616460406,0.4937697631557438,4.373664565654809,0.9039627609925579,0.8821065248072378,0.5817736513886201,2.3273306552268633,4.50468238911149,3.1418327407644364,4.999353628589003,3.202610538896962
2,11.561441982326388,0.6418707328401541,2.332797943444746,0.8677931635555818,2.8346987597951023,0.8919770134471597,0.9411171344781816,0.4330362985200772,1.4180473418447863,3.5010602773891133,3.47154549867498,7.695835563533227,4.034479780998139
3,15.219503626473047,0.6535687612292096,3.1652228286486914,0.897467020004563,5.223419220295346,0.836940107795324,1.1252427570355497,0.26925035449873336,2.113642380664446,4.492017413238092,3.4707089990539997,7.435556943502535,3.279477626338115
4,14.220746940131487,0.7111448047567349,3.606847428837875,0.6050720940453017,3.8422051917984557,0.7666103365719545,1.0301034648906187,0.4703462423513799,2.205280603469065,2.3971264806156336,5.4078323721370145,7.5683518495227755,3.483226189923013
5,12.840241559160132,0.7258512114049624,2.5971487797796184,0.7447395146065131,3.6679481230239763,0.6871941296065005,0.8717233269281075,0.3469469673713952,1.9847686290798887,3.321743832084861,3.824649821880403,8.347393540607962,3.733871126365323
6,13.086198964864163,0.6888169476268671,4.332929567519173,0.7844322774505185,2.6260210495800984,0.9045476559410511,0.7461365937433284,0.5706155216064049,1.240193750554307,3.145671272109339,3.0482653285553973,8.879817162145718,4.075578709118372
7,14.412481315287273,0.6883432637114278,3.567399238417803,0.9312877400157572,2.5725213531900666,0.6881455415448824,0.9418480896018051,0.5808172572815091,1.542765428195012,3.7484295831618395,2.9798715931550994,9.543093019488335,3.6235742994398876
8,15.251277673869204,0.7254164022777392,3.7680367938433825,0.6531312305198276,4.022015619011403,0.6846645635663247,1.22203216886647,0.4450707725744497,0.9174753025142598,3.5801881750806563,3.9142942432750156,6.210166676137209,3.826422713617261
9,16.621688891875728,0.6985166378756634,4.048060934952139,0.8112517153091997,2.9456675918398756,1.241683239940709,0.9402354373594279,0.4588541219296959,1.8211606367169475,3.477216110599318,2.589452607725804,7.3490682525489754,4.46062594461544
10,15.755587911796214,0.6428275687605195,4.814850421426255,0.8884338883320575,2.655099358687057,0.7538235161944259,0.9907914151999418,0.41486988148122295,2.48874348860768,3.591075239869992,3.255566484231354,10.099067552306224,3.4848549226355634
11,13.84528191808183,0.6476806920115139,3.466483959262234,0.6637937421720337,1.9954246790791026,0.7787961823008636,0.6525295879174705,0.24213909213826765,2.1931213042671147,3.676917281881449,4.094797492431558,13.330320147153582,4.743496904602841
12,13.778338868830636,0.6427154669849885,3.820674062626438,0.9743480496247504,3.49157879728068,1.2366973662470586,0.9096261118864545,0.46284903849836745,2.287039257979319,1.9396256362899422,4.37491981159267,7.8125125504277095,3.8675772103996677
13,13.01434333452238,0.8010007906287847,2.697030136508324,0.5071169346988946,4.10684710960471,0.49643348768470136,0.7824846545199146,0.3469722939030491,1.7970620493225797,3.568287836050637,3.8123588037482765,9.452908264593452,3.762859757446171
14,14.036082575461638,0.6009178028982252,2.320127074311233,0.5043064979328793,2.9950313145112513,0.8565771824613335,0.8656734355091469,0.34441321249718626,2.1437943143030096,3.0557558634066235,4.01600803615725,6.821973537942718,4.137478852480948
15,10.782941986324024,0.6357635549907394,4.283778165610088,0.7535696438513345,3.6144354213373027,0.531654887962127,1.10257299879041,0.6238320276049844,2.4847679285302675,3.4730444048972355,3.299761547286306,7.106346616807766,4.492818205008367
16,13.294082307431117,0.6404987069401444,4.618118023723287,1.0353874588570207,3.1539577722690058,0.541969270291448,1.0999341453594793,0.458376863576805,1.7453396066285873,3.2949031046134754,2.7926638141940034,10.348738363750066,3.3586999189175337
17,12.41276596938853,0.7471256417611455,2.545191969153383,0.5075454369874536,3.825098085626504,0.7163513677003996,0.8982315910528723,0.31073273045382893,1.95524588197099,2.2213880683381966,3.329714108200255,5.4041569342315885,3.7162124507100254
18,11.159052582174256,0.684042330067314,3.583140499169239,1.0048430258518906,3.924384136022353,0.6907588043960708,1.1117680157427283,0.4342722619586126,1.659396306079556,2.506070013113034,3.8521216456404948,9.012502606206175,3.68951929933536
19,13.02339725819953,0.6748446542430048,3.238017432494718,0.7645633782487958,2.940949152065562,0.62393457627141,0.7678038988201024,0.3950940459880402,1.5930912517082898,3.2669619892779065,2.7408886117035323,9.248963231525414,3.454731971178833
20,16.762191458401144,0.6654969950139034,2.3605364869648033,0.8759840963224488,5.298261456157102,0.8547189846641012,0.9732004545357358,0.384927189194304,2.234638596467847,3.6883274364871643,3.611725995006749,9.955129478842201,3.9279948725149265
21,14.268472118547344,0.7069798895769748,3.0804181250090465,0.8569503376620067,3.3757466097407463,0.5742555404751369,0.8857119289846527,0.37519095879301534,3.267295966819641,2.5273458030635414,3.548022012735024,7.21886577880954,3.852194874033353
22,16.781703578876346,0.7228353761357635,4.286149371923123,0.6101751615738651,3.596154864155526,0.7334480731751547,0.6551480650753451,0.2574523832590669,2.854346574478549,2.4787647847617187,5.495360700151248,6.2639725123647745,3.5337669537316483
23,12.496006078629405,0.5910474645459491,4.403453213800986,0.6797031966687882,4.294989870595426,0.6871329516518817,1.0384084846509167,0.41258785331614223,1.6236626459136705,2.8580411756720836,4.530415676507971,9.469229544704035,3.216682005029697
24,8.652550143880326,0.6130216598172462,2.8163114425282867,0.6509592623541036,5.331471471926096,0.6967527053746003,1.053224997544551,0.4033180961056805,1.4836505365220525,2.04358548528906,2.298246012954477,13.748993807352356,3.5472204891618553
25,9.574297330869395,0.767847445524446,3.1457786109123913,0.7762890263040623,3.6878732467494966,0.5512006627762182,1.2226139451120965,0.5883584367645434,1.700722687103749,2.9612313740139427,4.62930741536046,7.452416938053403,3.638761803558
