run,THETA1,THETA2,THETA3,THETA4,THETA5,THETA6,THETA7,THETA8,"OMEGA(1,1)","OMEGA(2,1)","OMEGA(2,2)","OMEGA(3,1)","OMEGA(3,2)","OMEGA(3,3)","SIGMA(1,1)"
038,0.390772,4.08586,1.14293,4.20909,1.32814,0.555705,-0.00833693,0.48818,0.316002,0.0846723,0.0986505,0.127082,0.0700679,0.102237,0.0414536
039,0.570791,4.13926,1.18692,4.21246,1.26714,0.452392,-0.0430865,0.499261,0.239202,0.0631552,0.0686937,0.128497,0.0619581,0.0974553,0.0401178
040,0.434161,4.10478,1.16469,4.20901,1.30584,0.490642,-0.125879,0.408221,0.222731,0.0918557,0.0871069,0.131908,0.0839587,0.126121,0.0405873
041,0.492558,4.12591,1.14794,4.20893,1.30008,0.526849,-0.0611323,0.308246,0.330383,0.0827086,0.0813292,0.131667,0.0625834,0.0957561,0.0391863
042,0.46085,4.13917,1.14098,4.1762,1.24614,0.431482,0.0478121,0.374873,0.211539,0.0605338,0.0846466,0.10946,0.0624533,0.0984393,0.0393721
043,0.433347,4.1182,1.16768,4.1938,1.28935,0.459829,-0.0598961,0.409304,0.185244,0.0602999,0.0783215,0.117761,0.0659997,0.100283,0.0399985
044,0.444254,4.10334,1.15127,4.21512,1.23811,0.537403,-0.200441,0.490231,0.302744,0.0659616,0.0814851,0.134283,0.0673509,0.105716,0.0396386
045,0.501836,4.13886,1.21049,4.20662,1.27574,0.478079,-0.038748199999999997,0.343939,0.208751,0.075381,0.0845989,0.102933,0.0729645,0.112131,0.0398002
046,0.4781,4.11842,1.18517,4.23281,1.34463,0.491826,-0.0559687,0.388206,0.232114,0.0629689,0.0789537,0.147017,0.0781349,0.131152,0.0422501
047,0.44026,4.13154,1.15418,4.18093,1.26337,0.408398,-0.0222491,0.420518,0.222672,0.0800981,0.0849093,0.137383,0.074808,0.125992,0.0390825
048,0.374666,4.06174,1.14289,4.20959,1.2859,0.488496,-0.0117053,0.496455,0.206329,0.0607172,0.0750101,0.119868,0.0770476,0.116129,0.0403206
049,0.469791,4.10115,1.15785,4.217,1.24671,0.434655,-0.0594781,0.333604,0.208428,0.0551087,0.0844361,0.0881101,0.0700911,0.105167,0.0388237
050,0.536594,4.1275,1.17067,4.192,1.27817,0.466006,0.0799556,0.4766,0.276166,0.0787138,0.0852878,0.121311,0.0720897,0.101653,0.039163
051,0.517044,4.12279,1.19169,4.20327,1.26477,0.467495,0.0159382,0.35692,0.252407,0.0690752,0.0792027,0.131494,0.0612197,0.100741,0.0413687
052,0.457478,4.16381,1.18806,4.21834,1.26189,0.544152,0.0548193,0.579974,0.143437,0.0744828,0.0751576,0.0991618,0.071375,0.120688,0.0423216
053,0.413326,4.08284,1.15041,4.20482,1.27449,0.473307,0.0292842,0.494479,0.22058,0.0405916,0.0735518,0.0800224,0.0590031,0.0938852,0.0385159
054,0.463996,4.12879,1.19312,4.17931,1.28857,0.508925,-0.0157967,0.446984,0.199777,0.0553371,0.084164,0.118135,0.0687955,0.111912,0.0421466
