run,THETA1,THETA2,THETA3,THETA4,THETA5,THETA6,THETA7,THETA8,"OMEGA(1,1)","OMEGA(2,1)","OMEGA(2,2)","OMEGA(3,1)","OMEGA(3,2)","OMEGA(3,3)","SIGMA(1,1)"
038,0.390772,4.08586,1.14293,4.20909,1.32814,0.555705,-0.0083368,0.48818,0.316002,0.0846724,0.0986505,0.127082,0.0700679,0.102237,0.0414536
039,0.570791,4.13926,1.18692,4.21246,1.26714,0.452392,-0.0430865,0.499261,0.239202,0.0631552,0.0686937,0.128497,0.0619581,0.0974554,0.0401178
040,0.434161,4.10478,1.16469,4.20901,1.30584,0.490642,-0.125879,0.408221,0.222731,0.0918557,0.0871069,0.131908,0.0839587,0.126121,0.0405873
041,0.492532,4.12596,1.14794,4.20888,1.30013,0.526923,-0.0610538,0.308312,0.330402,0.0827226,0.0813505,0.131699,0.062597,0.095765,0.0391852
042,0.46085,4.13917,1.14098,4.1762,1.24614,0.431482,0.0478121,0.374873,0.211539,0.0605338,0.0846466,0.10946,0.0624533,0.0984393,0.0393721
043,0.433347,4.1182,1.16768,4.1938,1.28935,0.459829,-0.0598961,0.409304,0.185244,0.0602999,0.0783215,0.117761,0.0659997,0.100283,0.0399985
044,0.444381,4.10333,1.15125,4.21516,1.23814,0.537398,-0.200589,0.490121,0.302747,0.0659405,0.0814633,0.134314,0.0673502,0.105718,0.0396411
045,0.501835,4.13886,1.21049,4.20662,1.27574,0.478076,-0.0387478,0.343936,0.20875,0.07538,0.0845985,0.102932,0.0729638,0.112129,0.0398003
046,0.4781,4.11842,1.18517,4.23281,1.34463,0.491826,-0.0559687,0.388206,0.232114,0.0629689,0.0789537,0.147017,0.0781349,0.131152,0.0422501
047,0.44026,4.13154,1.15418,4.18093,1.26337,0.408398,-0.0222491,0.420518,0.222672,0.0800981,0.0849093,0.137383,0.074808,0.125992,0.0390825
